cellular_component	defined_class
http://purl.obolibrary.org/obo/CL_0000081	http://purl.obolibrary.org/obo/UPHENO_0079594
http://purl.obolibrary.org/obo/CL_0000642	http://purl.obolibrary.org/obo/UPHENO_0079595
http://purl.obolibrary.org/obo/CL_0000764	http://purl.obolibrary.org/obo/UPHENO_0079596
http://purl.obolibrary.org/obo/CL_0000881	http://purl.obolibrary.org/obo/UPHENO_0079597
http://purl.obolibrary.org/obo/CL_0000897	http://purl.obolibrary.org/obo/UPHENO_0079598
http://purl.obolibrary.org/obo/CL_0000899	http://purl.obolibrary.org/obo/UPHENO_0079599
http://purl.obolibrary.org/obo/CL_0000094	http://purl.obolibrary.org/obo/UPHENO_0079600
http://purl.obolibrary.org/obo/CL_0002153	http://purl.obolibrary.org/obo/UPHENO_0079601
http://purl.obolibrary.org/obo/CL_0000091	http://purl.obolibrary.org/obo/UPHENO_0079602
http://purl.obolibrary.org/obo/CL_0000092	http://purl.obolibrary.org/obo/UPHENO_0079603
http://purl.obolibrary.org/obo/CL_0002038	http://purl.obolibrary.org/obo/UPHENO_0079604
http://purl.obolibrary.org/obo/CL_0000651	http://purl.obolibrary.org/obo/UPHENO_0079605
http://purl.obolibrary.org/obo/CL_0000652	http://purl.obolibrary.org/obo/UPHENO_0079606
http://purl.obolibrary.org/obo/CL_0000775	http://purl.obolibrary.org/obo/UPHENO_0079607
http://purl.obolibrary.org/obo/CL_0000891	http://purl.obolibrary.org/obo/UPHENO_0079608
http://purl.obolibrary.org/obo/CL_0000771	http://purl.obolibrary.org/obo/UPHENO_0079609
http://purl.obolibrary.org/obo/CL_0000824	http://purl.obolibrary.org/obo/UPHENO_0079610
http://purl.obolibrary.org/obo/CL_0000826	http://purl.obolibrary.org/obo/UPHENO_0079611
http://purl.obolibrary.org/obo/CL_0000820	http://purl.obolibrary.org/obo/UPHENO_0079612
http://purl.obolibrary.org/obo/CL_0000821	http://purl.obolibrary.org/obo/UPHENO_0079613
http://purl.obolibrary.org/obo/CL_0000700	http://purl.obolibrary.org/obo/UPHENO_0079614
http://purl.obolibrary.org/obo/CL_0000822	http://purl.obolibrary.org/obo/UPHENO_0079615
http://purl.obolibrary.org/obo/CL_0000823	http://purl.obolibrary.org/obo/UPHENO_0079616
http://purl.obolibrary.org/obo/CL_0000145	http://purl.obolibrary.org/obo/UPHENO_0079617
http://purl.obolibrary.org/obo/CL_0000388	http://purl.obolibrary.org/obo/UPHENO_0079618
http://purl.obolibrary.org/obo/CL_0000148	http://purl.obolibrary.org/obo/UPHENO_0079619
http://purl.obolibrary.org/obo/CL_0000141	http://purl.obolibrary.org/obo/UPHENO_0079620
http://purl.obolibrary.org/obo/CL_0000020	http://purl.obolibrary.org/obo/UPHENO_0079621
http://purl.obolibrary.org/obo/CL_0000021	http://purl.obolibrary.org/obo/UPHENO_0079622
http://purl.obolibrary.org/obo/CL_0000023	http://purl.obolibrary.org/obo/UPHENO_0079623
http://purl.obolibrary.org/obo/CL_0000958	http://purl.obolibrary.org/obo/UPHENO_0079624
http://purl.obolibrary.org/obo/CL_0000959	http://purl.obolibrary.org/obo/UPHENO_0079625
http://purl.obolibrary.org/obo/CL_1001474	http://purl.obolibrary.org/obo/UPHENO_0079626
http://purl.obolibrary.org/obo/CL_0000158	http://purl.obolibrary.org/obo/UPHENO_0079627
http://purl.obolibrary.org/obo/CL_0000037	http://purl.obolibrary.org/obo/UPHENO_0079628
http://purl.obolibrary.org/obo/CL_0000038	http://purl.obolibrary.org/obo/UPHENO_0079629
http://purl.obolibrary.org/obo/CL_0000155	http://purl.obolibrary.org/obo/UPHENO_0079630
http://purl.obolibrary.org/obo/CL_0000604	http://purl.obolibrary.org/obo/UPHENO_0079631
http://purl.obolibrary.org/obo/CL_0000846	http://purl.obolibrary.org/obo/UPHENO_0079632
http://purl.obolibrary.org/obo/CL_0000842	http://purl.obolibrary.org/obo/UPHENO_0079633
http://purl.obolibrary.org/obo/CL_0000601	http://purl.obolibrary.org/obo/UPHENO_0079634
http://purl.obolibrary.org/obo/CL_0000843	http://purl.obolibrary.org/obo/UPHENO_0079635
http://purl.obolibrary.org/obo/CL_0000844	http://purl.obolibrary.org/obo/UPHENO_0079636
http://purl.obolibrary.org/obo/CL_0000845	http://purl.obolibrary.org/obo/UPHENO_0079637
http://purl.obolibrary.org/obo/CL_0000609	http://purl.obolibrary.org/obo/UPHENO_0079638
