defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/ZP_0011336	cell migration to the midline involved in heart development delayed, abnormal	http://purl.obolibrary.org/obo/GO_0003318	cell migration to the midline involved in heart development
http://purl.obolibrary.org/obo/ZP_0008474	cellular response to epinephrine stimulus delayed, abnormal	http://purl.obolibrary.org/obo/GO_0071872	cellular response to epinephrine stimulus
http://purl.obolibrary.org/obo/ZP_0000120	chondrocyte differentiation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0002062	chondrocyte differentiation
http://purl.obolibrary.org/obo/ZP_0004121	chordate embryonic development delayed, abnormal	http://purl.obolibrary.org/obo/GO_0043009	chordate embryonic development
http://purl.obolibrary.org/obo/ZP_0148493	circadian rhythm delayed, abnormal	http://purl.obolibrary.org/obo/GO_0007623	circadian rhythm
http://purl.obolibrary.org/obo/ZP_0103994	closure of optic fissure delayed, abnormal	http://purl.obolibrary.org/obo/GO_0061386	closure of optic fissure
http://purl.obolibrary.org/obo/ZP_0004623	convergent extension delayed, abnormal	http://purl.obolibrary.org/obo/GO_0060026	convergent extension
http://purl.obolibrary.org/obo/ZP_0003571	convergent extension involved in axis elongation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0060028	convergent extension involved in axis elongation
http://purl.obolibrary.org/obo/ZP_0007585	convergent extension involved in gastrulation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0060027	convergent extension involved in gastrulation
http://purl.obolibrary.org/obo/ZP_0138317	convergent extension involved in neural plate elongation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0022007	convergent extension involved in neural plate elongation
http://purl.obolibrary.org/obo/ZP_0019034	cortical granule exocytosis delayed, abnormal	http://purl.obolibrary.org/obo/GO_0060471	cortical granule exocytosis
http://purl.obolibrary.org/obo/ZP_0003081	developmental growth delayed, abnormal	http://purl.obolibrary.org/obo/GO_0048589	developmental growth
http://purl.obolibrary.org/obo/ZP_0004820	developmental pigmentation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0048066	developmental pigmentation
http://purl.obolibrary.org/obo/ZP_0000606	developmental process delayed, abnormal	http://purl.obolibrary.org/obo/GO_0032502	developmental process
